fold,pr_auc,roc_auc
1,0.7878987670991665,0.8429508618471829
2,0.9180713951198664,0.8951147959183673
3,0.8396826469359067,0.8696801583580768
4,0.8971204630984907,0.9130938003220611
5,0.8825349807329285,0.894088669950739
6,0.9080567100884822,0.9096200279578092
7,0.9565013748977658,0.9403368794326242
8,0.9081293362063961,0.9148925423643205
9,0.9001304093454063,0.8936154002438034
10,0.9208084044431479,0.926790765811275
