fold,pr_auc,roc_auc
1,0.7924058134916072,0.8372781065088759
2,0.9076780427551321,0.8784183673469387
3,0.8041039504020216,0.8471636193155181
4,0.8521398680589132,0.869338768115942
5,0.8748102651488399,0.8726032588101553
6,0.8594883327382947,0.8673020714194943
7,0.9289661146987149,0.9043819655521784
8,0.8774161002899448,0.873702553223729
9,0.8453997176830148,0.8571210889882163
10,0.8822048668981284,0.8824004849464538
