fold,pr_auc,roc_auc
1,0.8460098783528625,0.85711413780972
2,0.8484371337136025,0.8491790856276838
3,0.8496798112295605,0.7833157059756742
4,0.8541008443204332,0.8275764000206836
5,0.9419943909364707,0.922219110420857
6,0.8550696675971006,0.8438637742718447
7,0.8416914775227933,0.8619870628663836
8,0.8087225885183627,0.831956306865702
9,0.8083746528534888,0.8073737373737374
10,0.7710632092948487,0.8385988823769933
