year,n_fires_ge70ha,area_burned_ha
2000,22,15180.4
2001,12,8000.0
2002,14,5995.18
2003,122,261037.42
2004,93,216445.4
2005,29,33232.7
2006,100,134655.7
2007,30,27509.0
2008,23,10610.9
2009,136,241922.27
2010,95,333933.8
2011,5,11430.0
2012,44,98949.3
2013,30,15287.7
2014,64,366243.61
2015,100,277837.37
2016,38,98337.4
2017,99,1211903.99
2018,247,1347912.67
2019,22,20244.96
2020,9,13372.0
2021,154,862148.5
2022,82,130539.13
2023,269,2829114.98
2024,153,1077303.31
