year,month,max_temperature,avg_temperature,min_temperature,avg_wind_speed,precipitation,specific_humidity,AET,PDSI,soil_moisture
2000,1,-6.682693254,-11.24461117,-15.80652909,2.600741187,81.92919397,0.0013151998551862,0.3723351024289387,-0.799248089,44.09737727
2000,2,-0.949546317,-6.469007213,-11.98846811,2.314485037,43.92075106,0.0018201746511541,1.4847705345148965,-1.594592111,44.21489927
2000,3,2.294746145,-2.604777713,-7.504301571,3.117024069,68.49805032,0.0024959675614664,5.072375324002074,-1.489569219,47.51840386
2000,4,6.441004904,0.867106051,-4.706792803,3.004160198,52.42500669,0.0028917960504884,25.02801985019113,-1.351411595,61.35093588
2000,5,10.8757089,5.221883423,-0.431942057,2.784888194,62.11750047,0.0038654746041987,68.55363768154875,-0.979684323,60.77726677
2000,6,16.24630371,10.22098961,4.195675511,2.700227993,64.90755109,0.0055123909518954,80.05710136712105,-0.996616492,46.02823661
2000,7,19.17724549,13.31543858,7.453631659,2.473730551,94.08410698,0.0070619749694432,83.77693708973958,-0.289242691,38.93141973
2000,8,17.56048862,11.92447038,6.288452147,2.649874698,93.62394817,0.0064351063987964,67.99010645,0.505771221,39.62240991
2000,9,13.40983518,8.020974485,2.632113793,2.769534147,89.63498978,0.0052126484027469,47.103801964509685,0.873012688,40.78702497
2000,10,7.526854749,3.028149778,-1.470555193,2.782003796,93.79660116,0.0036375863054479,17.593792579352986,0.791302396,48.01892931
2000,11,0.483352435,-3.296285383,-7.075923202,2.669780229,68.80780199,0.0024451737309312,2.4989976287663422,-0.006959138,48.53804123
2000,12,-6.35530858,-10.26122999,-14.1671514,2.428974554,65.98919749,0.0014993860121602,1.039383822362922,-0.892331998,48.66828062
2001,1,-0.557813573,-4.835875339,-9.113937106,2.80970831,83.81471001,0.0021230050594645,2.708228845027367,-1.483077812,48.83843501
2001,2,-3.480756528,-8.997483226,-14.51420992,2.43230266,39.62413578,0.0014724496066403,1.0643532628065573,-2.379610231,48.84465457
2001,3,1.297554407,-3.915643436,-9.128841278,3.200365524,67.71536929,0.0022545194628954,4.1015225559481925,-2.357887418,52.23140824
2001,4,6.766391991,1.174314529,-4.417762934,2.940746868,43.98076329,0.002895241872699,29.714095377377987,-2.523657767,60.30597301
2001,5,11.46691174,5.763961754,0.061011765,3.408116351,81.5852348,0.0038209862410534,66.46580693810914,-1.743432926,56.10281222
2001,6,15.58854482,9.86557523,4.14260564,2.554858691,92.4486819,0.0054763107380043,81.55403021259472,-0.746221879,50.79699154
2001,7,18.7193339,12.92845777,7.137581636,2.608277034,86.6836004,0.0068189087074506,83.74295565135102,-0.073690796,39.54231575
2001,8,19.86295446,13.50335081,7.143747154,2.523268865,84.05723869,0.0070467331175955,62.75203226934797,0.170527816,34.34315384
2001,9,15.11945579,9.283852739,3.448249687,2.910974583,83.3459324,0.005433586086635,41.81822195700244,-0.019337108,33.57174287
2001,10,6.546919709,2.281600285,-1.98371914,3.073183125,116.0314094,0.0033810672056907,17.953134250448805,0.133404965,44.37878091
2001,11,0.415561103,-3.056017019,-6.527595141,2.838230172,99.73831854,0.0024705187656826,3.1063334,0.128715873,47.59190095
2001,12,-5.524243795,-9.585110857,-13.64597792,2.603121864,91.49992693,0.0015683855557685,1.1945549239428694,-0.019104631,47.67449068
2002,1,-4.291593569,-8.518797177,-12.74600079,2.579366121,85.33115889,0.0017869546004721,1.2612336795029402,-0.377863325,47.75345283
2002,2,-1.661614655,-6.690825229,-11.7200358,2.808251664,64.34343556,0.0018792433483423,1.5778506586142562,-0.644286078,47.95902447
2002,3,-3.962575613,-9.531726104,-15.1008766,2.985379419,63.3487691,0.0014914028935627,1.1196427641491336,-0.599995507,48.11006335
2002,4,3.914546642,-1.704560668,-7.323667979,2.806752358,47.76178608,0.0026023331200012,11.729824756436352,-0.234959952,55.49648058
2002,5,10.45967672,4.665794158,-1.128088401,3.06183266,57.23450833,0.0036453543755399,69.87103695604462,0.039350124,66.63925817
2002,6,17.98417107,11.36356259,4.742954097,2.768251305,66.43740606,0.0057752436223271,87.95486901483962,-0.262452005,47.13844245
2002,7,19.09864988,13.03210448,6.965559069,2.901604294,78.89570762,0.0065945762486009,77.63790695461783,-0.093893198,35.81128258
2002,8,18.57643216,12.26876557,5.961098979,2.767628817,59.48480328,0.0063247310220111,50.92408274117373,-0.573706925,28.35087056
2002,9,13.54345494,8.153489367,2.763523793,2.655111748,87.08269325,0.005214270516122,41.96184240762242,-0.482920242,35.28710073
2002,10,6.754031612,2.207601462,-2.338828687,2.56142211,50.13400762,0.0037373507893481,11.603064510373777,-1.141757902,38.28251139
2002,11,2.394088146,-1.375444767,-5.14497768,2.817550803,98.37970951,0.0029817381057555,5.096067049182281,-1.143057967,45.08506172
2002,12,-1.626787774,-5.208405803,-8.790023832,2.508819121,76.0762811,0.0021331904416012,2.6099132353975096,-1.736734701,46.13036864
2003,1,-3.378142317,-7.479441427,-11.58074054,2.756241661,107.6512722,0.0019864359383346,3.082298201262057,-1.381827398,46.85856298
2003,2,-2.993045569,-7.625387577,-12.25772958,2.192604218,45.69532939,0.0018951958142042,1.594515393148199,-1.57572908,46.94894516
2003,3,-0.922202625,-6.217617524,-11.51303242,3.065608742,96.63731195,0.0020737997213212,3.428651540758376,-0.451541334,49.22216951
2003,4,6.907747658,1.538138551,-3.831470556,2.75836389,58.2506784,0.0031599207882414,30.11115733218935,-0.028105497,72.80606553
2003,5,11.86788424,5.847520315,-0.172843612,2.92282582,51.13756356,0.0038023752708222,72.59293124855725,-0.207664993,62.76099661
2003,6,16.95921853,10.80160386,4.643989176,2.96632952,72.80824257,0.0056198520001207,83.72495935882372,-0.351604301,44.59661637
2003,7,20.69121535,14.01151771,7.331820071,2.626794896,61.31550214,0.0068989080361206,72.65496852,-1.096069978,28.94992083
2003,8,19.92006773,13.2345597,6.549051669,2.495877873,78.29244805,0.0064416422662987,62.59388047620126,-1.156778706,26.30687949
2003,9,14.3458558,8.766954681,3.18805356,2.825844153,90.47645761,0.0052827368019757,45.92425214425156,-1.073020826,31.10463494
2003,10,9.398994075,4.679095715,-0.040802645,2.873507696,134.3918549,0.0041874754987469,26.51057585601077,-0.569667515,48.36026867
2003,11,-1.738221211,-6.146307057,-10.5543929,2.738520874,86.85520517,0.0018971751670025,1.291740628640057,-0.8470079,48.49998465
2003,12,-2.641188507,-6.742055848,-10.84292319,2.757029944,82.89412921,0.0018194549087977,1.791865382182961,-1.24871759,48.62796892
2004,1,-8.046180405,-11.92553191,-15.80488342,2.528451128,104.9663264,0.0014176943174815,0.5306544008889564,-1.029993511,48.63322032
2004,2,0.005063561,-5.198888903,-10.40284137,2.534379107,39.88413631,0.0022216993633612,2.904920464597881,-1.757656581,49.07073957
2004,3,2.288959041,-3.164082703,-8.617124447,3.374140992,71.55574107,0.0025450079794791,7.869232072837169,-1.574001624,55.60800683
2004,4,8.73250427,2.5138957,-3.70471287,2.839085979,41.55635249,0.0032281995590881,39.42057016424738,-1.98563942,66.08589149
2004,5,12.05771534,6.013048697,-0.031617946,2.666755871,52.40115639,0.0042467357794268,70.94811129756913,-2.225551115,56.45434009
2004,6,19.115898,12.05795082,5.000003636,2.46885013,54.31069191,0.0063887677885107,79.56497723761774,-2.787661636,35.32104941
2004,7,20.91421928,14.49207646,8.069933639,2.384951539,62.18706047,0.0076542673102349,69.15905340927573,-3.046811118,24.20424555
2004,8,19.86990331,13.59927884,7.328654371,2.040936639,86.98972742,0.0074258041957058,71.23557838,-2.482300534,27.35737173
2004,9,12.5141316,7.537396813,2.560662027,2.858843825,105.5911668,0.00504971455646,46.69332935946824,-1.413003984,41.72485009
2004,10,6.936724954,2.403916549,-2.128891857,2.875963366,101.9740861,0.0037079058640831,17.180053263509663,-0.873908875,47.80878464
2004,11,1.12707316,-2.6340902,-6.395253561,2.971137142,116.2392798,0.0026764829303039,2.6560428742762454,-0.362616952,49.81169213
2004,12,-3.573567961,-7.481410036,-11.38925211,2.972235036,99.12223297,0.001982338792909,1.8357318460116905,-0.21083439,50.04764588
2005,1,-6.770977844,-11.13626168,-15.50154552,2.573739781,106.9112295,0.0013867552707471,0.4426243032173007,0.190044434,50.05630385
2005,2,-0.21082053,-5.81493162,-11.41904271,2.562479201,55.413917,0.0018647214724795,2.0587025758748423,-0.17952703,50.2557921
2005,3,3.080261755,-2.13172011,-7.343701976,3.195275553,75.77004399,0.002556837704666,7.519615645268652,-0.017817383,54.97295942
2005,4,8.870000556,2.947767749,-2.974465058,3.083838021,53.18328207,0.0031968172405812,46.70306522,-0.60033218,69.20691494
2005,5,14.84987132,8.057980743,1.266090169,2.632842538,53.97535672,0.0047308864301452,79.66539329246687,-1.599928144,52.35761433
2005,6,16.47666063,10.81702318,5.15738572,2.435325239,85.45071245,0.0062310768368202,79.82792003345956,-1.069997018,44.37195738
2005,7,18.43924097,12.71248261,6.985724257,2.674288167,100.4323018,0.0068596669852742,87.37956663996734,-0.088075917,37.08136573
2005,8,18.99413018,12.68317487,6.372219572,2.515838036,82.69451703,0.0067580617728955,71.31398602082703,0.286075614,31.7564355
2005,9,13.67740515,8.248852479,2.820299803,2.647467611,77.17794015,0.0052336712450102,44.852685439007146,0.15604955,35.00518478
2005,10,8.106862726,3.732320258,-0.642222211,2.856323084,117.520262,0.0039701113290521,22.698396797265385,0.217877285,48.25282113
2005,11,1.1441484,-2.339682391,-5.823513183,2.963758857,98.51952239,0.0026146324672487,2.394387682139096,-0.021824505,49.76442761
2005,12,-1.91687358,-5.624003452,-9.331133324,2.616612482,72.49069697,0.0020679078651258,2.0812380324439554,-0.756191915,49.83479239
2006,1,-2.309684991,-6.175258799,-10.04083261,2.596047382,107.4677557,0.0021343372699073,2.514278144262624,-0.796850451,52.01204851
2006,2,-1.548971117,-6.995440907,-12.4419107,2.868866882,48.7149502,0.0016025459248897,1.4762345977351443,-1.402321447,52.03556884
2006,3,-0.434842498,-5.80578092,-11.17671934,2.82426674,55.55723695,0.0019363993831388,2.638434737965533,-1.512104336,53.081638
