year,month,max_temperature,avg_temperature,min_temperature,avg_wind_speed,precipitation
2000,1,-6.682693254,-11.24461117,-15.80652909,2.600741187,81.92919397
2000,2,-0.949546317,-6.469007213,-11.98846811,2.314485037,43.92075106
2000,3,2.294746145,-2.604777713,-7.504301571,3.117024069,68.49805032
2000,4,6.441004904,0.867106051,-4.706792803,3.004160198,52.42500669
2000,5,10.8757089,5.221883423,-0.431942057,2.784888194,62.11750047
2000,6,16.24630371,10.22098961,4.195675511,2.700227993,64.90755109
2000,7,19.17724549,13.31543858,7.453631659,2.473730551,94.08410698
2000,8,17.56048862,11.92447038,6.288452147,2.649874698,93.62394817
2000,9,13.40983518,8.020974485,2.632113793,2.769534147,89.63498978
2000,10,7.526854749,3.028149778,-1.470555193,2.782003796,93.79660116
2000,11,0.483352435,-3.296285383,-7.075923202,2.669780229,68.80780199
2000,12,-6.35530858,-10.26122999,-14.1671514,2.428974554,65.98919749
2001,1,-0.557813573,-4.835875339,-9.113937106,2.80970831,83.81471001
2001,2,-3.480756528,-8.997483226,-14.51420992,2.43230266,39.62413578
2001,3,1.297554407,-3.915643436,-9.128841278,3.200365524,67.71536929
2001,4,6.766391991,1.174314529,-4.417762934,2.940746868,43.98076329
2001,5,11.46691174,5.763961754,0.061011765,3.408116351,81.5852348
2001,6,15.58854482,9.86557523,4.14260564,2.554858691,92.4486819
2001,7,18.7193339,12.92845777,7.137581636,2.608277034,86.6836004
2001,8,19.86295446,13.50335081,7.143747154,2.523268865,84.05723869
2001,9,15.11945579,9.283852739,3.448249687,2.910974583,83.3459324
2001,10,6.546919709,2.281600285,-1.98371914,3.073183125,116.0314094
2001,11,0.415561103,-3.056017019,-6.527595141,2.838230172,99.73831854
2001,12,-5.524243795,-9.585110857,-13.64597792,2.603121864,91.49992693
2002,1,-4.291593569,-8.518797177,-12.74600079,2.579366121,85.33115889
2002,2,-1.661614655,-6.690825229,-11.7200358,2.808251664,64.34343556
2002,3,-3.962575613,-9.531726104,-15.1008766,2.985379419,63.3487691
2002,4,3.914546642,-1.704560668,-7.323667979,2.806752358,47.76178608
2002,5,10.45967672,4.665794158,-1.128088401,3.06183266,57.23450833
2002,6,17.98417107,11.36356259,4.742954097,2.768251305,66.43740606
2002,7,19.09864988,13.03210448,6.965559069,2.901604294,78.89570762
2002,8,18.57643216,12.26876557,5.961098979,2.767628817,59.48480328
2002,9,13.54345494,8.153489367,2.763523793,2.655111748,87.08269325
2002,10,6.754031612,2.207601462,-2.338828687,2.56142211,50.13400762
2002,11,2.394088146,-1.375444767,-5.14497768,2.817550803,98.37970951
2002,12,-1.626787774,-5.208405803,-8.790023832,2.508819121,76.0762811
2003,1,-3.378142317,-7.479441427,-11.58074054,2.756241661,107.6512722
2003,2,-2.993045569,-7.625387577,-12.25772958,2.192604218,45.69532939
2003,3,-0.922202625,-6.217617524,-11.51303242,3.065608742,96.63731195
2003,4,6.907747658,1.538138551,-3.831470556,2.75836389,58.2506784
2003,5,11.86788424,5.847520315,-0.172843612,2.92282582,51.13756356
2003,6,16.95921853,10.80160386,4.643989176,2.96632952,72.80824257
2003,7,20.69121535,14.01151771,7.331820071,2.626794896,61.31550214
2003,8,19.92006773,13.2345597,6.549051669,2.495877873,78.29244805
2003,9,14.3458558,8.766954681,3.18805356,2.825844153,90.47645761
2003,10,9.398994075,4.679095715,-0.040802645,2.873507696,134.3918549
2003,11,-1.738221211,-6.146307057,-10.5543929,2.738520874,86.85520517
2003,12,-2.641188507,-6.742055848,-10.84292319,2.757029944,82.89412921
2004,1,-8.046180405,-11.92553191,-15.80488342,2.528451128,104.9663264
2004,2,0.005063561,-5.198888903,-10.40284137,2.534379107,39.88413631
2004,3,2.288959041,-3.164082703,-8.617124447,3.374140992,71.55574107
2004,4,8.73250427,2.5138957,-3.70471287,2.839085979,41.55635249
2004,5,12.05771534,6.013048697,-0.031617946,2.666755871,52.40115639
2004,6,19.115898,12.05795082,5.000003636,2.46885013,54.31069191
2004,7,20.91421928,14.49207646,8.069933639,2.384951539,62.18706047
2004,8,19.86990331,13.59927884,7.328654371,2.040936639,86.98972742
2004,9,12.5141316,7.537396813,2.560662027,2.858843825,105.5911668
2004,10,6.936724954,2.403916549,-2.128891857,2.875963366,101.9740861
2004,11,1.12707316,-2.6340902,-6.395253561,2.971137142,116.2392798
2004,12,-3.573567961,-7.481410036,-11.38925211,2.972235036,99.12223297
2005,1,-6.770977844,-11.13626168,-15.50154552,2.573739781,106.9112295
