selected_feature
num__Slope
num__Elevation
num__TWI
num__Profile_Curvature
num__NDVI
num__Max_Temperature
num__Precipitation
num__WS
num__Specific_Humidity
num__AET
num__DSI
num__Soil_Moisture
num__Distance_roads
num__Distance_rivers
num__Distance_households
cat__LULC_11.0
