fold,pr_auc,roc_auc
1,0.8378891784961634,0.8729609110495536
2,0.9142302363352989,0.9289259127968805
3,0.9067905284996639,0.8666772942239227
4,0.9209636084362983,0.9047993905535805
5,0.9363597934824984,0.9208655018285249
6,0.8644811031818253,0.8929331306990882
7,0.874940865911775,0.890975449585775
8,0.9177848256556835,0.931868978805395
9,0.8998329069587997,0.9075191957971308
10,0.8513233956263038,0.8573232323232323
