year,month,max_temperature,avg_temperature,min_temperature,avg_wind_speed,avg_relative_humidity,precipitation
2000,1,-6.682693254,-11.24461117,-15.80652909,2.600741187,78.4177557,81.92919397
2000,2,-0.949546317,-6.469007213,-11.98846811,2.314485037,77.00384767,43.92075106
2000,3,2.294746145,-2.604777713,-7.504301571,3.117024069,75.09471196,68.49805032
2000,4,6.441004904,0.867106051,-4.706792803,3.004160198,66.59882965,52.42500669
2000,5,10.8757089,5.221883423,-0.431942057,2.784888194,69.02229014,62.11750047
2000,6,16.24630371,10.22098961,4.195675511,2.700227993,69.0322624,64.90755109
2000,7,19.17724549,13.31543858,7.453631659,2.473730551,71.61728064,94.08410698
2000,8,17.56048862,11.92447038,6.288452147,2.649874698,71.33356433,93.62394817
2000,9,13.40983518,8.020974485,2.632113793,2.769534147,74.5018677,89.63498978
2000,10,7.526854749,3.028149778,-1.470555193,2.782003796,77.28127127,93.79660116
2000,11,0.483352435,-3.296285383,-7.075923202,2.669780229,83.09653173,68.80780199
2000,12,-6.35530858,-10.26122999,-14.1671514,2.428974554,80.82770596,65.98919749
2001,1,-0.557813573,-4.835875339,-9.113937106,2.80970831,82.0714869,83.81471001
2001,2,-3.480756528,-8.997483226,-14.51420992,2.43230266,73.11537117,39.62413578
2001,3,1.297554407,-3.915643436,-9.128841278,3.200365524,71.92910424,67.71536929
2001,4,6.766391991,1.174314529,-4.417762934,2.940746868,67.96916547,43.98076329
2001,5,11.46691174,5.763961754,0.061011765,3.408116351,66.52771176,81.5852348
2001,6,15.58854482,9.86557523,4.14260564,2.554858691,71.91922799,92.4486819
2001,7,18.7193339,12.92845777,7.137581636,2.608277034,71.31433254,86.6836004
2001,8,19.86295446,13.50335081,7.143747154,2.523268865,68.8801755,84.05723869
2001,9,15.11945579,9.283852739,3.448249687,2.910974583,72.36519001,83.3459324
2001,10,6.546919709,2.281600285,-1.98371914,3.073183125,76.73031653,116.0314094
2001,11,0.415561103,-3.056017019,-6.527595141,2.838230172,82.91525941,99.73831854
2001,12,-5.524243795,-9.585110857,-13.64597792,2.603121864,81.68427462,91.49992693
2002,1,-4.291593569,-8.518797177,-12.74600079,2.579366121,82.13461882,85.33115889
2002,2,-1.661614655,-6.690825229,-11.7200358,2.808251664,77.92910381,64.34343556
2002,3,-3.962575613,-9.531726104,-15.1008766,2.985379419,70.16748345,63.3487691
2002,4,3.914546642,-1.704560668,-7.323667979,2.806752358,68.34676299,47.76178608
2002,5,10.45967672,4.665794158,-1.128088401,3.06183266,66.82647882,57.23450833
2002,6,17.98417107,11.36356259,4.742954097,2.768251305,64.46871936,66.43740606
2002,7,19.09864988,13.03210448,6.965559069,2.901604294,66.84547026,78.89570762
