UniqueID,Longitude,Latitude,Status,Aspect,Slope,Elevation,TWI,Profile_Curvature,Plan_Curvature,NDVI,LULC,Max_Temperature,Precipitation,WS,Specific_Humidity,AET,DSI,Soil_Moisture,Distance_roads,Distance_rivers,Distance_households
3377,-126.75701749257966,57.74854027580755,0,242.9444274902344,17.27450942993164,1382.5655517578125,7.343862533569336,0.0247235260903835,-0.0067810392938554,0.6719032526016235,2.0,3.5520436763763428,666.6300048828125,2.062001466751098,0.0031043014023452,29.28276824951172,0.3030784130096435,29.428747177124023,75747.515625,2970.74853515625,75925.4921875
3378,-129.9934818000971,56.26757856802969,0,,,,,0.0162429846823215,0.0073033883236348,-0.1240759193897247,9.0,3.6003074645996094,1690.852294921875,2.353231430053711,0.0034842677414417,25.916887283325195,-0.1983707845211029,43.3222885131836,11601.279296875,4064.203125,11803.4296875
3379,-127.07681827575644,59.27874462918179,0,199.01568603515625,12.588122367858888,1027.0479736328125,6.917815685272217,-0.0208452604711055,-0.0113411005586385,0.762434720993042,2.0,5.435084819793701,514.8766479492188,1.536170482635498,0.0033260616473853,31.13853454589844,0.1934247016906738,45.47210693359375,38816.12890625,836.2565307617188,38659.98828125
3380,-123.85088991984382,50.25407722026391,0,,,,,,,0.091800533235073,8.0,7.28014326095581,1293.963134765625,2.536076784133911,0.0044026053510606,32.38270950317383,-1.326911687850952,80.06123352050781,18765.126953125,4526.212890625,9448.201171875
3381,-131.0719547260343,59.075435861418086,0,280.18975830078125,1.057791829109192,1442.58642578125,8.600851058959961,0.0071724406443536,-0.0025815104600042,0.5618610978126526,11.0,3.4953081607818604,640.8108520507812,2.2960031032562256,0.0031001693569123,28.36974334716797,0.2785069346427917,47.34703826904297,64143.0703125,5476.1396484375,64036.12109375
3382,-127.57327236522444,52.25490149094276,0,,,732.79931640625,6.403404712677002,,,0.7058625817298889,2.0,9.706039428710938,3187.974365234375,3.808847904205322,0.0052705421112477,43.00131607055664,-0.7090011239051819,40.05484771728516,13770.6591796875,16269.041015625,13679.8134765625
3383,-132.1444827000805,53.025496505648206,0,290.4139709472656,16.39284324645996,724.0680541992188,5.306434631347656,-0.080180250108242,0.0406540557742118,0.5961592197418213,2.0,10.155747413635254,2749.6708984375,6.465902805328369,0.0056501245126128,43.50595474243164,-2.3160479068756104,43.1282958984375,7036.26416015625,13891.5673828125,7065.18798828125
3384,-125.24926395479548,55.66756551208884,0,178.72987365722656,11.807735443115234,1728.2589111328125,6.186793804168701,0.0016345420153811,-0.030558057129383,0.3935092389583587,2.0,5.146978855133057,647.164794921875,2.2834625244140625,0.0035541930701583,31.527507781982425,0.17090505361557,53.44385528564453,6871.369140625,9553.4921875,7020.02783203125
3385,-121.1397806532587,54.46498275055322,0,218.88070678710935,8.997918128967285,1172.0513916015625,10.41055965423584,0.0075376010499894,0.0093459859490394,0.7409285306930542,2.0,5.320687294006348,964.3346557617188,2.8643524646759038,0.0036325957626104,35.18230056762695,0.4552990198135376,45.65045928955078,32473.1875,3958.162841796875,29257.806640625
3386,-124.8286278161949,48.799945212558704,0,287.3965148925781,14.45373821258545,139.145751953125,6.853312969207764,0.0430594384670257,-0.0019980799406766,0.82691490650177,2.0,12.276053428649902,2775.668701171875,3.21356463432312,0.0061709834262728,47.73994064331055,-1.3950271606445312,161.20013427734375,6640.7509765625,1073.3116455078125,6794.36474609375
3387,-121.05698684965732,55.33458935492831,0,102.36150360107422,5.017239570617676,1200.334228515625,6.164796829223633,-0.0054643545299768,0.0090252505615353,0.7194687128067017,2.0,7.949755191802978,632.0739135742188,2.9046735763549805,0.003843949874863,38.53071975708008,0.4191666543483734,51.62387466430664,8703.421875,5472.96728515625,8690.474609375
3388,-123.90946276178168,57.22432165533954,0,221.05520629882807,11.146713256835938,,,-0.0330042392015457,0.0364207997918129,0.2516252100467682,8.0,3.200993061065674,739.7953491210938,2.5673155784606934,0.0030977658461779,29.68412971496582,0.2380433827638626,30.26192855834961,20787.7109375,3005.990966796875,20774.423828125
3389,-124.71698330956538,49.071845769783245,0,188.17367553710935,15.885488510131836,611.37255859375,5.816012859344482,-0.0044214534573256,-0.0166999790817499,0.7634857892990112,2.0,11.623621940612791,2182.46337890625,3.112489461898804,0.0058553414419293,44.57484817504883,-1.449188470840454,170.12493896484375,534.6839599609375,2259.421142578125,668.16650390625
3390,-123.9688222439234,56.66933736396344,0,314.9469299316406,20.82276153564453,1312.6622314453125,6.274435520172119,-0.0126984445378184,0.0065550175495445,0.6643561720848083,2.0,5.119620800018311,658.3595581054688,2.1705894470214844,0.0034170115832239,32.562252044677734,0.2763594686985016,25.92792510986328,41882.4921875,1829.1536865234373,41845.72265625
3391,-128.73115829543892,58.23522142459008,0,182.16331481933597,10.580191612243652,1608.5345458984375,5.751613616943359,0.0306984614580869,-0.0108718462288379,0.4983410835266113,9.0,3.730201244354248,674.1072387695312,2.033351421356201,0.0030528828501701,28.923030853271484,0.6142404079437256,44.64250946044922,66417.265625,7053.97998046875,66420.1484375
3392,-129.28709174118296,52.781648831338856,0,,,,,,,,2.0,,,,,,,,,,
3393,-126.6416059071494,59.01530138688247,0,134.00442504882812,18.948287963867188,1349.528564453125,5.350239276885986,0.0204511005431413,-0.0593178458511829,0.7379142045974731,2.0,4.231348514556885,615.205810546875,1.824517011642456,0.0032901878003031,30.405649185180664,0.468535304069519,37.6845817565918,44975.1796875,1934.151611328125,45034.76171875
3394,-123.34696018334778,54.14630821475964,0,210.39401245117188,1.5272767543792725,776.6102294921875,6.780737400054932,0.000996648450382,-0.0030840255785733,0.747399628162384,2.0,9.724979400634766,561.2261962890625,2.097567558288574,0.0040387995541095,36.21110153198242,-0.6804860830307007,56.82622146606445,1732.9720458984375,820.064453125,1678.24072265625
3395,-127.81280481979552,56.64498961304679,0,267.1679382324219,24.6784782409668,1329.38427734375,4.112489223480225,-0.0457107089459896,0.114049382507801,0.648113489151001,2.0,5.218900680541992,732.3477172851562,1.9811073541641235,0.0035532764159142,30.09552955627441,0.4440972208976745,35.93215560913086,97429.1875,4212.85302734375,54108.3359375
